age,nbHomme,nbFemme,tot,proba
0,29021,28031,57052,0.00976065088342342
1,30984,29039,60023,0.0102689397037041
2,31052,30096,61148,0.0104614085434266
3,31614,30712,62326,0.0106629448040428
4,33259,31933,65192,0.0111532698659493
5,33407,32443,65850,0.0112658427517604
6,34434,32740,67174,0.0114923571906872
7,34811,32774,67585,0.0115626724734658
8,35058,33329,68387,0.0116998813707614
9,34624,33309,67933,0.01162220950122
10,35916,33987,69903,0.0119592438250008
11,34442,32980,67422,0.0115347858771327
12,34348,32629,66977,0.0114586537583091
13,34063,33035,67098,0.0114793548512926
14,34887,32869,67756,0.0115919277371036
15,36319,34165,70484,0.0120586432880042
16,36828,34609,71437,0.0122216857806759
17,35832,34259,70091,0.0119914075066611
18,35004,34092,69096,0.0118211795106399
19,35207,32923,68130,0.0116559129335981
20,34042,33327,67369,0.0115257184562391
21,33669,31827,65496,0.0112052792235277
22,31852,30895,62747,0.0107349709209523
23,31078,29915,60993,0.0104348906143982
24,31630,31060,62690,0.0107252191664063
25,31109,30958,62067,0.0106186342000533
26,31760,31687,63447,0.010854729310113
27,30957,31811,62768,0.0107385636726271
28,31448,32972,64420,0.0110211934710464
29,31894,32613,64507,0.0110360777279849
30,32162,33497,65659,0.0112331658198608
31,32226,33789,66015,0.0112940715149197
32,31967,33801,65768,0.0112518139118873
33,31817,33579,65396,0.011188170882219
34,34447,35998,70445,0.0120519710348938
35,35187,36663,71850,0.0122923432302807
36,36052,37442,73494,0.0125736043613952
37,34359,35650,70009,0.011977378666788
38,34221,34479,68700,0.0117534304790575
39,34215,34825,69040,0.011811598839507
40,32634,33734,66368,0.0113544639597393
41,33609,35265,68874,0.0117831989929346
42,35651,36855,72506,0.0124045739492656
43,37847,38831,76678,0.0131183339486633
44,39102,40807,79909,0.0136711044563465
45,39482,40883,80365,0.0137491184927141
46,38722,40078,78800,0.0134813729512334
47,38679,39558,78237,0.0133850529896655
48,37947,39499,77446,0.0132497260099139
49,38004,39770,77774,0.0133058413694064
50,39240,40748,79988,0.0136846200459804
51,39251,40531,79782,0.0136493768628845
52,39652,41529,81181,0.0138887225577928
53,38698,40331,79029,0.0135205510528302
54,37341,39525,76866,0.0131504976303236
55,37737,39554,77291,0.0132232080808855
56,37333,39269,76602,0.0131053316092688
57,36870,39672,76542,0.0130950666044836
58,35807,39566,75373,0.0128950700945852
59,36016,38901,74917,0.0128170560582176
60,35624,38664,74288,0.0127094445913861
61,35432,38214,73646,0.0125996090401844
62,35898,39191,75089,0.0128464824052685
63,35863,38755,74618,0.0127659021177047
64,36526,39516,76042,0.0130095248979402
65,35929,38697,74626,0.0127672707850094
66,36650,40348,76998,0.0131730806408511
67,36557,40648,77205,0.01320849490736
68,36430,40385,76815,0.0131417723762562
69,35514,40092,75606,0.0129349325298344
70,34021,37966,71987,0.0123157816578736
71,25411,29324,54735,0.0093642506153015
72,25179,28842,54021,0.00924209705835758
73,25068,28938,54006,0.00923953080716128
74,22236,25732,47968,0.00820652915894368
75,20270,23083,43353,0.00741697920754847
76,18717,22383,41100,0.0070315282778641
77,19006,23767,42773,0.00731775082795818
78,18497,23341,41838,0.0071577878367221
79,17511,22958,40469,0.00692357464420638
80,17137,22707,39844,0.00681664751102718
81,16111,22436,38547,0.00659475232425371
82,15917,22351,38268,0.00654702005200251
83,14593,21378,35971,0.00615404145214232
84,14300,21431,35731,0.00611298143300151
85,12597,20176,32773,0.005606916697091
86,11520,19583,31103,0.00532120739723618
87,9775,17100,26875,0.00459786672670554
88,8359,15793,24152,0.00413200659287041
89,6789,13722,20511,0.00350909188582167
90,5705,12656,18361,0.00314126254768522
91,4828,11083,15911,0.00272210818562277
92,3722,9185,12907,0.00220817361271027
93,2894,7966,10860,0.00185796586612175
94,2222,6570,8792,0.00150416536785842
95,1695,5310,7005,0.00119843930867246
96,1159,4093,5252,0.000898530085531442
97,528,1785,2313,0.000395715934469578
98,293,1162,1455,0.000248926366041174
99,429,2387,2816,0.000481770891252197
